title,NER
Chicken Curry,"[""Water"", ""Brown Rice"", ""Chicken Tenders"", ""Canola Oil"", ""Carrots"", ""Broccoli Crown"", ""Coconut Milk"", ""Chili Pepper"", ""Basil"", ""Curry"", ""Salt""]"
Curry Creamed Corn Recipe,"[""onion"", ""butter"", ""curry pwdr"", ""whole kernel corn"", ""whipping cream"", ""Salt""]"
Coconut Curry Beef (Easy),"[""unsweetened coconut milk"", ""onion broth"", ""green onions"", ""jalapeno pepper"", ""butcher slice"", ""red curry"", ""garam masala"", ""lemon juice"", ""salt"", ""red pepper"", ""basmati rice""]"
Chicken Makhani - Butter Chicken Curry,"[""Chicken"", ""Vegetable oil"", ""Cinnamon powder"", ""cardamon"", ""Black pepper"", ""Bay leaf"", ""Cayenne pepper"", ""Ginger"", ""clove Garlic"", ""nuts"", ""Sugar"", ""Salt"", ""Garam masala"", ""Butter"", ""cream""]"
Fabulous Chicken Curry,"[""chicken breasts"", ""broccoli"", ""cream of chicken soup"", ""milk"", ""mayonnaise"", ""lemon juice"", ""curry powder"", ""pepper"", ""garlic"", ""shredded cheese"", ""buttered corn"", ""rice""]"
Pat's Prawn Curry,"[""oil"", ""garlic"", ""ground coriander"", ""cumin powder"", ""chili powder"", ""onions"", ""tomato passata"", ""turmeric"", ""ginger powder"", ""paprika"", ""fresh coriander leaves""]"
Bell Pepper Curry Recipe,"[""peppers"", ""chick-pea"", ""oil"", ""turmeric"", ""chile pwdr"", ""cumin seeds"", ""seeds""]"
Shrimp in Coconut Curry,"[""oil"", ""coconut milk"", ""onion"", ""garlic"", ""ginger"", ""shrimp"", ""jalapeno"", ""salt"", ""pepper"", ""fresh cilantro""]"
Mango-Curry Chicken Breasts,"[""chicken breast halves"", ""mango-pineapple"", ""soy sauce"", ""brown sugar"", ""curry powder"", ""ground turmeric"", ""lemon juice"", ""ground black pepper"", ""sesame oil""]"
"Green Curry of Rabbit, Butternut Squash and Dill","[""lemongrass stalks"", ""shallots"", ""garlic"", ""bird chiles"", ""canola oil"", ""fish sauce"", ""water"", ""butternut"", ""lime juice"", ""lime"", ""scallions"", ""dill"", ""basil"", ""rice""]"
Vegetarian Red Curry Noodles,"[""vegetable oil"", ""garlic"", ""shallots"", ""chiles"", ""stalks of fresh lemongrass"", ""fresh ginger"", ""light brown sugar"", ""ground coriander"", ""unsweetened coconut milk"", ""lime juice"", ""fish sauce"", ""Salt"", ""snow peas"", ""noodles"", ""red bell pepper"", ""cabbage"", ""shredded carrot""]"
Potato Curry with Garbanzo Beans,"[""Sweet Potato"", ""Potatoes"", ""Onion"", ""Garlic"", ""Garbanzo Beans"", ""Tomatoes"", ""Chicken"", ""Curry"", ""Salt"", ""Cinnamon"", ""Cumin"", ""Chili Powder"", ""Olive Oil""]"
Apple And Pork Curry Recipe,"[""Extra virgin olive oil"", ""Pork Chops"", ""onion"", ""Clove of Garlic"", ""Apple"", ""Sweet Red Pepper"", ""Chicken"", ""Cornstarch"", ""Curry"", ""Cumin"", ""Cinnamon"", ""Salt"", ""Freshly Grnd Black Pepper"", ""Parsley""]"
Sublime! Beef Tendon Curry that Anyone can Make in a Pressure Cooker,"[""Onion"", ""Carrot"", ""Potatoes"", ""Garlic"", ""Butter"", ""Multi Grain Rice"", ""Raisins"", ""blocks Japanese curry roux""]"
Roasted Red Curry Chicken with Apple Jus,"[""vegetable oil"", ""red curry"", ""chickens"", ""apple"", ""garlic"", ""cilantro"", ""mint sprigs"", ""yellow mustard seeds"", ""butter"", ""shallots"", ""thyme"", ""brown sugar"", ""chicken stock"", ""apple juice"", ""white wine"", ""cinnamon sticks"", ""apple cider vinegar""]"
Spicy Red Curry Beef Summer Rolls,"[""fish sauce"", ""rice vinegar"", ""sugar"", ""vegetable oil"", ""red curry"", ""skirt"", ""rice"", ""rice"", ""cilantro"", ""mint"", ""cucumber"", ""green onions"", ""Dipping Sauce""]"
Curry and Honey Acorn Squash,"[""Acorn squash"", ""vegetable oil"", ""honey"", ""curry"", ""ground black pepper"", ""salt""]"
Keema Style Curry,"[""oil"", ""green pepper"", ""onion"", ""salt"", ""ground black pepper"", ""ground cumin"", ""garam masala"", ""ground cinnamon"", ""ground beef"", ""tomatoes""]"
Jamaican Curry Chicken and Potatoes with Scotch Bonnet Hot Peppers,"[""olive oil"", ""yellow onion"", ""ginger"", ""Scotch"", ""butter"", ""curry"", ""chicken"", ""russet potatoes"", ""coconut milk"", ""chicken"", ""recipe was""]"
Mustard and Curry Roast Lamb,"[""loin roast"", ""breadcrumbs"", ""vegetable oil"", ""mint leaves"", ""curry powder"", ""kosher salt"", ""freshly ground black pepper"", ""hot mustard""]"
Chinese Curry Chicken,"[""oil"", ""onion"", ""tomatoes"", ""curry powder"", ""soy sauce"", ""fresh ginger"", ""garlic"", ""ground turmeric"", ""chili powder"", ""boiling potatoes"", ""chicken broth"", ""white wine"", ""chicken"", ""Salt""]"
Mushroom Curry,"[""mushrooms"", ""onion"", ""tomatoes"", ""vegetable oil"", ""garlic"", ""Garam masala"", ""pepper"", ""Turmeric"", ""Salt""]"
Chicken Curry and Potatoes,"[""flour"", ""salt"", ""cayenne pepper"", ""chicken breasts"", ""canola oil"", ""curry powder"", ""onions"", ""scallion"", ""garlic"", ""chicken broth"", ""tomato paste"", ""nonfat yogurt"", ""red potatoes"", ""jasmine rice""]"
Goa Curry Mussels Hot Pot,"[""olive oil"", ""red onions"", ""ginger"", ""stalk lemongrass"", ""curry powder"", ""pineapple juice"", ""coconut milk"", ""green mussels"", ""lime"", ""fresh cilantro"", ""scallions"", ""pepper""]"
Indian Green Bell Pepper And Chicken Curry: Home Style Chicken Jalfrezi,"[""Green bell peppers"", ""Onion"", ""clove Garlic"", ""Ginger"", ""Tomato"", ""Chicken breast meat"", ""If"", ""Cumin"", ""Turmeric"", ""light heaping"", ""Cayenne pepper"", ""Garam masala"", ""Salt""]"
Shannon's Pumpkin Lentil and Herb Curry,"[""onion"", ""thyme"", ""ground coriander"", ""curry powder"", ""pumpkin"", ""potatoes"", ""tomatoes"", ""tomato paste"", ""red lentil"", ""frozen peas""]"
Thick Chicken Curry with Vegetables,"[""Potatoes"", ""Carrot"", ""Onion"", ""Apple"", ""granules"", ""Water"", ""Chicken"", ""Margarine"", ""Water"", ""Bay leaves"", ""curry roux"", ""Curry"", ""Honey"", ""Soy sauce"", ""sauce""]"
Chicken in Green Curry,"[""zucchini"", ""coconut milk"", ""lemon rind"", ""lemon juice"", ""soy sauce"", ""coriander paste"", ""olive oil"", ""black pepper"", ""salt"", ""green chili""]"
Coconut Curry Hummus,"[""Chickpeas"", ""Tahini"", ""Coconut Milk"", ""clove Garlic"", ""Fresh Cilantro"", ""Curry"", ""Ground Cumin"", ""Ground Ginger"", ""Salt"", ""Red Pepper""]"
Chicken or Tofu Curry OAMC Vegetarian,"[""chicken"", ""lemons"", ""chili powder"", ""black pepper"", ""salt"", ""oil"", ""ginger"", ""onions"", ""garlic"", ""ground cumin"", ""coriander"", ""ground turmeric"", ""green chilies"", ""water"", ""garam masala""]"
Hot Chile Pepper Curry(Mirchi Ka Salan),"[""green chilies"", ""tamarind paste"", ""cumin"", ""coriander seeds"", ""fenugreek seeds"", ""sesame seeds"", ""coconut"", ""oil"", ""red onion"", ""fresh ginger"", ""garlic"", ""cayenne pepper"", ""turmeric"", ""water""]"
Red Curry With Chicken,"[""coconut milk"", ""red curry"", ""chicken"", ""bamboo shoots"", ""palm sugar"", ""fish sauce"", ""salt"", ""lime leaf"", ""thai sweet basil"", ""fresh red chili"", ""thai sweet basil""]"
Tropical Asian Curry Noodles with Rock Shrimp,"[""curry paste"", ""coconut milk"", ""lime juice"", ""fish sauce"", ""shrimp"", ""egg noodles"", ""garlic"", ""bean sprouts"", ""red bell pepper"", ""choy"", ""snow peas""]"
Goan Chicken Curry,"[""Coconut"", ""Water"", ""Vegetable Oil"", ""Cumin Seeds"", ""Fennel Seeds"", ""Coriander Seeds"", ""Onions"", ""Salt"", ""Chicken"", ""Fresh Cilantro"", ""Lemons"", ""Rice""]"
Thai Fish Curry,"[""mahi"", ""green curry"", ""lime"", ""vegetable oil"", ""onion"", ""red bell peppers"", ""pepper"", ""Kosher salt"", ""butternut squash"", ""light coconut milk"", ""fresh cilantro"", ""rice""]"
Red Curry Coconut Noodles,"[""Chicken"", ""Coconut Milk"", ""Red Curry"", ""Ginger"", ""Cilantro"", ""Sweet Thai Chili Sauce"", ""Chicken"", ""Noodles"", ""Onion"", ""Red Peppers"", ""Broccoli Slaw"", ""Salt""]"
Pan-Seared Halibut in Coconut-Curry Broth,"[""oil"", ""Sesame Dressing"", ""yellow onion"", ""curry"", ""coconut milk"", ""Philadelphia Light Cream Cheese"", ""baby bok choy"", ""green onions"", ""fresh cilantro""]"
West Indian Chicken Curry,"[""onions"", ""vegetable oil"", ""garlic"", ""sweet pickled peppers"", ""curry powder"", ""ginger"", ""thyme"", ""chives"", ""water"", ""Salt"", ""chicken"", ""bay leaves"", ""raisins""]"
Easy & Delicious! Aubergine and Minced Meat Curry,"[""pork"", ""Potatoes"", ""Onion"", ""Oil"", ""pack"", ""Water"", ""Milk"", ""Soy sauce"", ""cubes""]"
Chicken Korma Curry Heidi Style,"[""chicken breasts"", ""onion"", ""sultanas/golden raisins"", ""curry"", ""carnation"", ""tomato"", ""frozen spinach""]"
Coconut and Curry Marinated Bluefish With Lima Bean 'Dal',"[""coriander seeds"", ""cumin seeds"", ""unsweetened coconut milk"", ""curry powder"", ""hot chilies"", ""dry mustard"", ""salt"", ""bluefish fillet"", ""beans"", ""water""]"
A/P Red Curry,"[""Sugar"", ""hot chili flakes"", ""cumin seeds"", ""fenugreek seeds"", ""fennel seeds"", ""garlic"", ""coriander seeds"", ""coriander seeds"", ""allspice"", ""nutmeg"", ""water"", ""lemon squeezed"", ""tamarind"", ""salt""]"
East Indian Fish Curry,"[""vegetable oil"", ""onions"", ""curry powder"", ""paprika"", ""salt"", ""black pepper"", ""tomato puree"", ""water"", ""peanuts""]"
Thai Green Curry,"[""Ginger"", ""Garlic"", ""Coriander Seeds"", ""Fish Sauce"", ""Anchovy"", ""Sugar"", ""Green Birdseye Chilli"", ""Lime Leaves"", ""Soy Sauce"", ""Fresh Coriander"", ""Coconut Milk"", ""Chicken Breasts"", ""Tout"", ""Corn""]"
Aunt Janet's Tuna Rice Curry,"[""Rice"", ""stalks celery"", ""chives"", ""tuna"", ""mayonnaise"", ""milk"", ""ranch dressing"", ""curry powder""]"
Chicken Curry in a Hurry,"[""butter"", ""chicken breast halves"", ""curry powder"", ""brandy"", ""flour"", ""chicken broth"", ""sour cream"", ""mango""]"
Yam Latkes with Mustard Seeds and Curry,"[""yams"", ""red bell pepper"", ""cornstarch"", ""garbanzo beans"", ""egg"", ""curry powder"", ""salt"", ""cilantro"", ""mustard seeds"", ""vegetable oil""]"
Umami-Packed Beef Tendon Curry,"[""tendons"", ""Onion"", ""Potatoes"", ""Curry"", ""Milk"", ""Soy sauce"", ""Parsley"", ""much""]"
Red coconut curry salmon,"[""thai red curry"", ""coconut milk"", ""salmon fillets"", ""coriander""]"
Thai green curry with king prawns recipe,"[""king prawns"", ""fresh coriander"", ""onion"", ""green pepper"", ""ground cumin"", ""shrimp"", ""basil"", ""ground coriander"", ""unsweetened coconut milk"", ""sunflower oil"", ""garlic"", ""fresh ginger"", ""lemongrass"", ""green chillies"", ""lime"", ""jasmine rice"", ""water"", ""salt"", ""spring onions"", ""lime leaves""]"
Pumpkin & Chickpea Curry,"[""ghee"", ""garlic"", ""carrots"", ""stalks celery"", ""ginger"", ""onion"", ""tomatoes"", ""bay leaves"", ""ground coriander"", ""ground cinnamon"", ""ground cumin"", ""garam masala"", ""cayenne pepper"", ""ground turmeric"", ""chickpeas"", ""pumpkin puree"", ""vegetable stock"", ""potato"", ""cauliflower"", ""Greek yogurt"", ""lime"", ""cilantro"", ""cashews"", ""kosher salt""]"
Chicken Curry,"[""milk"", ""egg"", ""flour"", ""flour"", ""salt"", ""cracked pepper"", ""chicken thighs"", ""canola oil"", ""curry powder"", ""garam masala"", ""onion"", ""soy sauce"", ""chicken broth"", ""rice""]"
Chicken Curry (Americanized),"[""butter"", ""celery"", ""onion"", ""garlic"", ""garlic"", ""cornstarch"", ""curry powder"", ""chicken breasts"", ""mushrooms"", ""milk""]"
Indian Coconut Fish Curry,"[""coconut"", ""onion"", ""garlic"", ""serrano chiles"", ""fresh ginger"", ""unsweetened coconut milk"", ""vegetable oil"", ""yellow mustard seeds"", ""curry"", ""ground fennel"", ""ground coriander"", ""ground cardamom"", ""turmeric"", ""cayenne pepper"", ""ground fenugreek"", ""tamarind concentrate"", ""water"", ""tomatoes"", ""sugar"", ""tomatoes"", ""salmon fillet"", ""Salt"", ""Cilantro""]"
Easy Anything Curry,"[""vegetable oil"", ""yellow onion"", ""fresh okra"", ""garlic"", ""chicken"", ""white mushrooms"", ""tomatoes"", ""fresh ginger"", ""green chili peppers"", ""curry powder"", ""salt"", ""black pepper"", ""water"", ""garam masala"", ""steamed cooked basmati rice""]"
Vegetable Curry,"[""vegetable oil"", ""onion"", ""curry powder"", ""pepper"", ""salt"", ""ground ginger"", ""ground cumin"", ""bay leaves"", ""carrots"", ""snow peas"", ""green beans"", ""red bell pepper"", ""yellow bell pepper"", ""broccoli florets"", ""zucchini"", ""celery stalks"", ""lemon juice""]"
Cauliflower and Red Lentil Curry,"[""lentils"", ""onions"", ""curry powder"", ""salt"", ""turmeric"", ""italian plum"", ""cauliflower florets"", ""jalapeno pepper"", ""vegetable oil"", ""cumin seeds"", ""garlic"", ""ginger fresh"", ""cayenne pepper"", ""lemon juice fresh"", ""cilantro"", ""sugar""]"
Besan Curry Recipe,"[""Chickpea flour"", ""Tomato"", ""Green peas"", ""Onion"", ""Ginger"", ""Garlic"", ""pwdr"", ""Cumin"", ""Coriander"", ""Turmeric"", ""Salt"", ""Vegetable oil""]"
Singapore meat curry,"[""curry powder"", ""tomato puree"", ""clove garlic"", ""ginger"", ""chili flakes"", ""onion"", ""water"", ""kafferlime"", ""cinnamon"", ""clove garlic"", ""red onion"", ""cardemon"", ""cocunut oil"", ""beans"", ""coconut milk""]"
Express Coconut Tuna and Pea Curry,"[""vegetable oil"", ""onion"", ""curry powder"", ""coconut milk"", ""cilantro"", ""salt"", ""bay leaf"", ""peas"", ""tuna"", ""lime juice""]"
Quick Pork Curry,"[""ketchup"", ""onion"", ""ginger"", ""thyme"", ""olive oil"", ""curry powder"", ""garlic"", ""ham stock""]"
Red Snapper in a Coconut Curry Broth,"[""olive oil"", ""onions"", ""garlic"", ""fresh ginger"", ""curry powder"", ""fish stock"", ""unsweetened coconut milk"", ""red snapper"", ""salt"", ""light brown sugar"", ""red bell pepper"", ""yellow bell pepper"", ""cilantro"", ""water"", ""jasmine rice""]"
Mixed Vegetable Curry,"[""vegetable oil"", ""onion"", ""ground cumin"", ""chili powder"", ""ground coriander"", ""ground turmeric"", ""cauliflower"", ""green beans"", ""carrots"", ""tomatoes"", ""vegetable broth""]"
Vegetarian Hurry Curry,"[""vegetarian chicken"", ""cornstarch"", ""cayenne pepper"", ""curry"", ""salt"", ""water"", ""olive oil"", ""red onion"", ""broccoli florets"", ""mushrooms"", ""garlic"", ""tomato paste"", ""yogurt"", ""rice""]"
Garnalen au Curry,"[""long grain rice"", ""Freshly ground salt"", ""cold water"", ""butter"", ""onion"", ""curry"", ""shrimp"", ""brandy"", ""sherry"", ""whipping cream"", ""Worcestershire sauce"", ""piccalilly"", ""cocktail gherkins"", ""red bell pepper"", ""green bell pepper"", ""mayonnaise"", ""Freshly ground pepper""]"
Apricot Curry Chicken,"[""chicken tenders"", ""onion"", ""garlic"", ""olive oil"", ""apricot"", ""craisin"", ""sweet curry"", ""ginger"", ""chicken broth"", ""yogurt""]"
Hamburger Curry,"[""Vegetable Oil"", ""Ground Beef"", ""Onion"", ""Carrots"", ""Water"", ""Flour"", ""Curry"", ""Salt""]"
Indian Lamb Curry With Basmati Rice,"[""onions"", ""garlic"", ""fresh chili"", ""ginger"", ""tomatoes"", ""coconut milk"", ""lamb juice"", ""garam masala"", ""Salt"", ""cashews"", ""basmati rice"", ""cilantro""]"
Shanan's Curry,"[""oil"", ""red curry"", ""tomato paste"", ""onions"", ""carrots"", ""green beans"", ""potato"", ""water"", ""coconut milk"", ""coriander""]"
Cinnamon-spice chickpea curry recipe,"[""tins of chickpeas"", ""sunflower oil"", ""coriander seeds"", ""cinnamon"", ""red chillies"", ""cloves"", ""black peppercorns"", ""bay leaves"", ""cumin seeds"", ""cooking onion"", ""root ginger"", ""tomatoes"", ""salt"", ""red chilli"", ""sugar"", ""fresh coriander""]"
Coconut Chicken Curry with Cashews,"[""chicken thighs"", ""Salt"", ""ginger"", ""garlic"", ""cloves"", ""fennel seeds"", ""cardamom seeds"", ""allspice berries"", ""cumin seeds"", ""coriander seeds"", ""turmeric"", ""cayenne"", ""lemon juice"", ""cashews"", ""coconut"", ""parsnips"", ""ghee"", ""onion"", ""tomato paste"", ""cinnamon stick"", ""chicken broth"", ""coconut milk"", ""mint""]"
Butternut Squash Curry,"[""long-grain brown rice"", ""water"", ""butternut"", ""onion"", ""garlic"", ""neutral-tasting oil"", ""mustard seeds"", ""fennel seeds"", ""ground coriander"", ""fresh ginger"", ""tomato paste"", ""salt"", ""red pepper"", ""Cilantro"", ""Lime wedges""]"
Curry Spiced Turkey Meatballs over Lemon Rice,"[""EVOO"", ""ground coriander"", ""celery"", ""carrot"", ""garlic"", ""lemons"", ""Salt"", ""white rice"", ""chicken stock"", ""ground turkey"", ""onions"", ""parsley"", ""curry powder"", ""ground cumin"", ""fresh ginger"", ""unsalted butter"", ""serrano pepper"", ""flour"", ""mango"", ""frozen peas"", ""fresh cilantro""]"
Coconut Vegetable Curry,"[""olive oil"", ""onion"", ""carrot"", ""curry"", ""cornflour"", ""garlic"", ""broccoli"", ""zucchini"", ""yellow squash"", ""low-fat coconut milk"", ""soybeans"", ""basmati rice""]"
Chicken Curry with Sweet Potatoes,"[""curry powder"", ""salt"", ""chicken thighs"", ""vegetable oil"", ""shallot"", ""garlic"", ""ground chili paste"", ""fish sauce"", ""sugar"", ""lemongrass stalks"", ""ginger"", ""chicken"", ""carrots"", ""unsweetened coconut milk"", ""yellow onion"", ""sweet potato"", ""Asian basil"", ""cilantro"", ""scallions""]"
Penang Beef Curry,"[""fresh ginger"", ""cilantro stems"", ""garlic"", ""whole black peppercorns"", ""whole cloves"", ""anise pod"", ""soy sauce"", ""black soy sauce"", ""rock sugar"", ""Kosher salt"", ""hanger steak"", ""vegetable oil"", ""curry"", ""unsweetened coconut milk"", ""fish sauce"", ""freshly squeezed lime juice"", ""sugar"", ""Kosher salt"", ""Cilantro"", ""rice""]"
Bombay (Mild) Curry Mixture Recipe,"[""chilies"", ""Cinnamon"", ""coriander seeds"", ""cumin seeds"", ""fenugreek seeds"", ""Garlic"", ""Kokum skins"", ""Curry"", ""tumeric""]"
Marilyn's Chicken Curry Divan Recipe,"[""chicken"", ""broccoli"", ""mushrooms"", ""cream of chicken soup"", ""mayonnaise"", ""curry pwdr"", ""Parmesan cheese""]"
Curry Rice Gratin (Doria) With Last Night's Leftover Curry,"[""rice bowl full"", ""curry"", ""cheese"", ""flour"", ""Butter"", ""Milk"", ""Salt"", ""Carrot"", ""squash""]"
Thai Green Bean Curry with Pineapple and Sweet Potatoes,"[""vegetable oil"", ""shallots"", ""red curry"", ""garlic"", ""fresh ginger"", ""pineapple"", ""sweet potatoes"", ""green beans"", ""light coconut milk"", ""Basil""]"
Dry Curry Full of Lotus Root,"[""Ground meat"", ""Lotus root"", ""Onion"", ""Green peppers"", ""Corn"", ""blocks Japanese curry roux"", ""cube"", ""Water"", ""Salt"", ""garlic""]"
Aubergine Spinach Curry Recipe,"[""Aubergine"", ""Onions"", ""Vegetable oil"", ""Fresh ginger root"", ""cumin"", ""coriander seed"", ""cinnamon"", ""Turmeric"", ""Cayenne"", ""Cardamom"", ""Salt"", ""Coconut lowfat milk"", ""Vegetable stock"", ""Fresh spinach"", ""Red bell peppers"", ""lemon juice""]"
Beef Rezala An Easy Beef Curry,"[""Coriander"", ""Cumin"", ""Cooking Oil"", ""Beef"", ""Onion"", ""Ginger Paste"", ""Garlic"", ""Coriander Powder"", ""Cumin"", ""Red Chili"", ""Bay Leaves"", ""Garam Masala"", ""Turmeric"", ""Yogurt"", ""Salt"", ""Water""]"
Curry Lime Chicken Phyllo Rolls,"[""Olive Oil"", ""Onion"", ""Scallions"", ""Garlic"", ""Curry"", ""Chicken"", ""Cilantro"", ""Freshly Squeezed Lime Juice"", ""Salt"", ""Pepper"", ""Butter"", ""Dough"", ""Breadcrumbs""]"
Curry Chicken,"[""chicken"", ""apple cider vinegar"", ""onion"", ""celery"", ""fresh basil"", ""great northern beans"", ""olive oil"", ""coarse black pepper"", ""lemon pepper"", ""garlic"", ""curry powder"", ""oregano flakes"", ""salt""]"
Indian Beef Curry,"[""Nonstick cooking spray"", ""filet"", ""cauliflower florets"", ""red bell pepper"", ""garlic"", ""curry powder"", ""fish sauce"", ""yogurt"", ""fresh basil"", ""Salt""]"
Cauliflower and Potato Curry,"[""cauliflower"", ""potatoes"", ""mushrooms"", ""red and"", ""coconut milk"", ""curry powder"", ""chili flakes"", ""ginger"", ""clove garlic"", ""chili peppers"", ""chicken""]"
Thai Curry with Tofu,"[""Canola oil spray"", ""jasmine rice"", ""pressed"", ""zucchini"", ""bamboo shoots"", ""red bell pepper"", ""yellow bell pepper"", ""coconut milk"", ""curry"", ""fish sauce"", ""sugar"", ""paprika"", ""lime juice""]"
Hearty Vegetable Curry,"[""Carrot"", ""Cauliflower"", ""beans"", ""Onion"", ""Tomato"", ""Stalks of scallion"", ""clove Garlic"", ""either chicken"", ""Thyme"", ""salt"", ""Cumin"", ""Coriander"", ""Curry"", ""Ketchup"", ""Olive oil""]"
Mustard-And-Curry Roasted Veal,"[""mustard"", ""curry powder"", ""fresh ground black pepper"", ""veal loin"", ""fresh spinach""]"
Summer Vegetable Curry,"[""olive oil"", ""onion"", ""garlic"", ""curry powder"", ""zucchini"", ""red new potatoes"", ""carrots"", ""vegetable broth"", ""honey"", ""cinnamon"", ""tomatoes"", ""corn kernels"", ""couscous"", ""Raita Refresher"", ""mint leaves""]"
Red Curry Chicken,"[""Vegetable Oil"", ""Red Curry"", ""Coconut Milk"", ""Chicken Breasts"", ""Brown Sugar"", ""Fish Sauce"", ""Fresh Basil"", ""Basmati""]"
Golden Tempeh Curry,"[""olive oil"", ""pkgs"", ""red onions"", ""yellow bell peppers"", ""fresh ginger"", ""light coconut milk"", ""mangoes"", ""pineapple juice"", ""curry powder"", ""salt"", ""chives"", ""brown rice""]"
African Malayan Curry Powder (For Meat And Fish) Recipe,"[""Cumin"", ""Fennel"", ""red chiles"", ""Cloves"", ""Cinnamon""]"
Curry Spiced Shrimp and Rice,"[""olive oil"", ""onion"", ""carrots"", ""kosher salt"", ""black pepper"", ""garlic"", ""curry powder"", ""long-grain white rice"", ""water"", ""shrimp"", ""frozen peas"", ""cilantro""]"
Coconut-Curry Chicken Fingers With Cashews,"[""chicken breasts"", ""salt"", ""black pepper"", ""light coconut milk"", ""milk"", ""red curry"", ""cashews"", ""coconut"", ""corn flakes"", ""Spinach""]"
"Rajama Palak Dal Curry AKa Kidney Bean, Spinach, Lentil Cuury","[""canola oil"", ""onion"", ""garlic"", ""green chili pepper"", ""turmeric"", ""cumin"", ""coriander"", ""salt"", ""garam masala"", ""ginger paste"", ""red kidney beans"", ""lentils"", ""spinach"", ""tomato paste""]"
Thai Curry Beef,"[""shirt steak"", ""ghee"", ""onion"", ""carrots"", ""red curry"", ""coconut milk"", ""coconut aminos"", ""fish sauce"", ""basil""]"
Thai Curry Tofu,"[""canola oil"", ""salt"", ""butter"", ""onion"", ""garlic"", ""coconut milk"", ""curry powder"", ""salt"", ""ground black pepper"", ""fresh cilantro""]"
Beef And Potato Curry Recipe,"[""onion"", ""garlic"", ""tomato paste"", ""curry paste"", ""curry pwdr"", ""ginger"", ""salt"", ""potatoes"", ""beef broth"", ""green peas"", ""parsley""]"
Japanese Beef Curry,"[""unsalted butter"", ""cubes"", ""gold potatoes"", ""red onion"", ""Kosher salt"", ""all-purpose"", ""curry powder"", ""chicken broth"", ""carrots"", ""sugar"", ""Freshly ground pepper"", ""brown rice""]"
Roasted Vegetable Curry,"[""sweet potatoes"", ""onion"", ""head of cauliflower"", ""vegetable oil"", ""salt"", ""ginger root"", ""Curry"", ""salt"", ""coconut milk"", ""tomatoes""]"
Chicken Curry,"[""garlic"", ""fresh ginger"", ""water"", ""whole-milk yogurt"", ""salt"", ""turmeric"", ""chili powder"", ""chicken"", ""cardamom pods"", ""cloves"", ""cinnamon stick"", ""vegetable oil"", ""red onion"", ""Turkish"", ""electric coffee"", ""Accompaniment""]"
Great Green Chicken Curry,"[""chicken"", ""lime juice"", ""coconut milk"", ""ground black pepper"", ""kosher salt"", ""turmeric"", ""onions"", ""garlic"", ""ginger"", ""oil"", ""green curry"", ""palm sugar"", ""fish sauce"", ""lime zest"", ""water chestnuts"", ""coconut milk"", ""peanut butter""]"
Thai Curry Chicken Breast Saute,"[""chicken breast"", ""lemon"", ""vegetable oil"", ""garlic"", ""onion"", ""serrano pepper"", ""curry powder"", ""red curry"", ""salt"", ""cilantro""]"
Vegetarian Lentil Curry,"[""onion"", ""garlic"", ""ginger"", ""potato"", ""carrot"", ""curry"", ""tomato"", ""Cinnamon"", ""salt""]"
Aromatic Coriander Chicken Curry,"[""chicken"", ""tomatoes"", ""onion"", ""ginger"", ""clove garlic"", ""ground cumin"", ""ground coriander"", ""garam masala"", ""turmeric"", ""curry powder"", ""cinnamon"", ""bay leaf"", ""salt"", ""tomato"", ""fresh cilantro"", ""jasmine rice""]"
Curry Chicken With Currants Recipe,"[""chicken"", ""flour"", ""salad oil"", ""onion"", ""bell pepper"", ""garlic"", ""curry pwdr"", ""liquid warm pepper"", ""tomatoes"", ""currants"", ""Salt"", ""almonds""]"
Cauliflower Curry-Hcg/Phase 3,"[""cauliflower"", ""tomatoes"", ""onion"", ""coconut milk"", ""soy sauce"", ""curry powder"", ""salt"", ""basil"", ""baby spinach""]"
Minted Potato and Chickpea Curry,"[""chickpeas"", ""water"", ""chile powder"", ""turmeric"", ""russet potato"", ""tomatoes"", ""unsweetened coconut milk"", ""palm sugar"", ""Salt"", ""mint leaves"", ""cilantro"", ""jalapeno chile""]"
Curry Couscous made with BOCA,"[""water"", ""couscous"", ""oil"", ""zucchini"", ""red onions"", ""carrots"", ""Ground Burger"", ""chickpeas"", ""California raisins"", ""ground cumin"", ""curry powder""]"
Kerala Cashew-Shrimp Curry,"[""oil"", ""onions"", ""garlic"", ""gingerroot"", ""black mustard seed"", ""lite coconut milk"", ""water"", ""tomatoes"", ""cashews"", ""ground turmeric"", ""garam masala"", ""ground coriander"", ""red chili powder"", ""shrimp"", ""fresh coriander"", ""lemon juice""]"
Mussels In White Wine With Curry,"[""unsalted butter"", ""shallots"", ""curry powder"", ""white wine"", ""mussels"", ""heavy cream"", ""fresh chives"", ""Salt""]"
Aubrey's Curry Mango Yogurt,"[""I"", ""curry powder"", ""mango""]"
Goan Prawn Curry Recipe medgirl,"[""vegetable oil"", ""onions"", ""garlic"", ""ginger paste"", ""red chillies"", ""cumin"", ""coriander seeds"", ""coriander seeds"", ""peppercorns"", ""tomatoes"", ""coconut milk"", ""Salt""]"
Easy Weeknight Chicken Curry,"[""Chicken"", ""Yogurt"", ""Ginger-garlic"", ""Garam Masala"", ""Oil"", ""Cardamom"", ""Onions"", ""Coriander Powder"", ""Chili Powder"", ""Turmeric"", ""Salt"", ""Lemon/lime"", ""Cilantro""]"
